id|directory_name|parent|tie_line|address|mail_code|phone_type|phone_number
273606|ACADEMIC NURSE, THE|600|MC* 5-3742|630 W168St||OFFICE|212-305-3742
273609|ACCIDENTS  AND OTHER EMERGENCIES|600|||||
273612|ADMINISTRATION, EXECUTIVE VICE PRESIDENT FOR|600|MS* 4-2871|313 Low|4329|OFFICE|212-854-2871
273661|ADMINISTRATIVE PLANNING AND FINANCIAL MANAGEMENT|600|MS* 4- 1486|401 LOW|4337|OFFICE|212-854-1486
273665|ADMISSIONS|600|||||
273712|ADVOCATES FOR THE ARTS, COLUMBIA|600|MS* 4-2395|||OFFICE|212-854-2395
273714|AETNA US HEALTHCARE|600||||OFFICE|212-870-3074
273716|AFFIRMATIVE ACTION, OFFICE OF EQUAL OPPORTUNITY AND|600|MS* 4-5511|103 LOW|4333|OFFICE|212-854-5511
273718|AFRICAN-AMERICAN STUDIES, INSTITUTE FOR  RESEARCH IN|600|MS* 4-7080|758 SchrmExt|5512|OFFICE|212-854-7080
273722|AFRICAN STUDIES, INSTITUTE OF|600|MS* 4-4633|1103 IntAff|3331|OFFICE|212-854-4633
273726|ALCOHOL AND DRUG PROBLEM|600|||||
273730|ALTERNATIVE DISPUTE RESOLUTION SOCIETY|600||||OFFICE|212-854-2395
273732|ALUMNI ASSOCIATIONS|600|||||
273776|ALUMNI PARTNERSHIP PROGRAM|600|MS* 4-2446|403 Lerner|5727|OFFICE|212-854-2446
273780|AMBULANCE/EMERGENCIES|600|||||
273783|AMERICAN ARCHITECTURE, TEMPLE HOYNE BUELL  CENTER FOR THE STUDY OF|600|MS* 4-8165|3fl Buell|0362|OFFICE|212-854-8165
273784|AMERICAN ASSEMBLY, THE|600||475 RVSDDR, STE. 456|7742|OFFICE|212-870-3500
273788|AMERICAN CIVIL LIBERTIES UNION|600|MS* 4-2395|W&JWarren|4906|OFFICE|212-854-2395
273790|AMERICAN CONSTITUTION SOCIETY (LAW)|600|MS* 4-2395|W&JWarren|4906|OFFICE|212-854-2395
273792|AMERICAN HISTORIANS, SOCIETY OF|600|MS* 4-5943|603 Faywr|2538|OFFICE|212-854-5943
273793|AMERICAN INSTITUTE OF CHEMICAL ENGINEERS  (AICHE)|600|MS* 4-4453|801 SWMD|4721|OFFICE|212-854-4453
273794|AMERICAN INSTITUTE OF INDUSTRIAL ENGINEERS  (AIIE)|600|MS* 4-2942|313 SWMD|4704|OFFICE|212-854-2942
273795|AMERICAN INSTITUTE OF MINING ENGINEERS  (AIME)|600|MS* 4-2905|918 SWMd|4711|OFFICE|212-854-2905
273800|AMERICAN MUSEUM OF NATURAL HISTORY|600||CentralPkW at 79St (10024)||OFFICE|212-769-5100
273802|AMERICAN REVIEW OF INTERNATIONAL ARBITRATION|600|MS* 4-3971|201 WCWarren|4906|OFFICE|212-854-3971
273808|AMERICAN SOCIETY OF MECHANICAL ENGINEERS  (ASME)|600|MS* 4-3611|220 SWMD|4703|OFFICE|212-854-3611
273811|AMERICAN STUDIES PROGRAM|600|MS* 4-6698|418 HMLTN|2810|OFFICE|212-854-6698
273812|AMNESTY INTERNATIONAL|600|MS* 4-2395|W&JWarren|4906|OFFICE|212-854-2395
273814|ANATOMY AND CELL BIOLOGY DEPARTMENT|600|MC* 5-3451|622 W168ST (PH 1574)||OFFICE|212-305-3451
273819|ANESTHESIOLOGY DEPARTMENT|600||622 W168ST (PH 5-505)||OFFICE|212-305-3117
273824|ANTHROPOLOGY DEPARTMENT|600|MS* 4-4552|452 SchrmExt|5523|OFFICE|212-854-4552
273829|APPLIED MATHEMATICS|600|MS* 4-4457|||OFFICE|212-854-4457
