DirectorySeqnum;DirectoryName;Parent;TieLine;Address;MailCode;PhoneType;PhoneNumber
1034193;FAX;331122;;;;FAX;212-854-8463
1034194;OFFICE;331122;;;;OFFICE;212-854-8445
273668;OFFICE;273667;MS* 4-3414;;;OFFICE;212-854-3414
273673;FAX;273672;;;;FAX;212-662-6754
273675;FAX;273674;MS* 4-1209;;;FAX;212-854-1209
273677;FAX;273676;MS* 4-7400;;;FAX;212-854-7400
273678;Berlin Consortium;273676;MS* 4-2559;203 Lwsn;4119;OFFICE;212-854-2559
273679;Reid Hall Programs;273676;MS* 4-2559;203 Lwsn;4119;OFFICE;212-854-2559
273680;Summer Session;273676;MS* 4-9666;203 Lwsn;4119;OFFICE;212-854-9666
273682;FAX;273681;MC* 5-1034;;;FAX;212-305-1034
273684;UNDERGRADUATE;273683;MS* 4-2522;212 Hmltn;2807;OFFICE;212-854-2522
273685;GRADUATE;273683;MS* 4-6438;524 SWMd;4708;OFFICE;212-854-6438
273687;Postbaccalaureate Premedical  Program;273686;MS* 4-2772;408 Lwsn;4101;OFFICE;212-854-2772
273688;Undergraduate Degree;273686;MS* 4-2772;408 Lwsn;4101;OFFICE;212-854-2772
273690;FAX;273689;MS* 4-2863;;;FAX;212-854-2863
273692;FAX;273691;MC* 5-3079;;;FAX;212-305-3079
273693;nutrition@columbia.edu;273691;;;;;
273695;FAX;273694;MS* 4-3010;;;FAX;212-854-3010
273699;FAX;273698;MS* 4-2863;;;FAX;212-854-2863
273701;FAX;273700;MC* 5-3680;;;FAX;212-305-3680
273704;FAX;273703;MC* 5-3545;;;FAX;212-305-3545
273736;FAX;273735;;;;FAX;212-864-0410
273740;FAX;273739;;;;FAX;212-265-2477
273742;FAX;273741;MS* 7776;;;FAX;212-870-2747
273744;cpmcnet.columbia.edu/dental;273743;;;;;
273747;FAX;273746;;;;FAX;212-864-0104
273749;FAX;273748;MS* 4- 6970;;;FAX;212-854-6970
273751;FAX;273750;MS* 4-4912;;;FAX;212-854-4912
273753;FAX;273752;MS* 4-8660;;;FAX;212-854-8660
273759;FAX;273756;MS* 4-7801;;;FAX;212-854-7801
273762;FAX;273761;;;;FAX;212-342-1909
273766;FAX;273765;MC* 5-8293;;;FAX;212-305-8293
273768;FAX;273767;MC* 5- 7372;;;FAX;212-305-7372
273770;FAX;273769;MS* 1-2373;;;FAX;212-851-2373
273833;ACADEMIC AFFAIRS;273832;MS* 4-4457;200 SWMd;4701;OFFICE;212-854-4457
273834;BUSINESS OFFICE;273832;MS* 4-6669;201 SWMd;4701;OFFICE;212-854-6669
273835;FAX;273832;MS* 4-8257;;;FAX;212-854-8257
273836;WWW.APAM.COLUMBIA.EDU;273832;;;;;
273837;WWW.SEAS.COLUMBIA.EDU/MATSCI/;273832;;;;;
273839;292A/B ENGTER,;273838;MS* 4-0415;;4701;OFFICE;212-854-0415
273842;THIN FILMS AND NANOSTRUCTURE LAB;273841;MS* 4-8693;1128 SWMd;4701;OFFICE;212-854-8693
